date,dma,orders,revenue,ad_spend
2025-07-01,New York,479,27845.81,3619.75
2025-07-01,Los Angeles,463,27272.06,3062.54
2025-07-01,Chicago,316,18654.77,2317.97
2025-07-01,Dallas-Fort Worth,259,15019.64,2004.96
2025-07-01,Houston,258,15228.87,1931.41
2025-07-01,Philadelphia,228,13200.11,1620.66
2025-07-01,Washington DC,236,14107.91,1716.04
2025-07-01,Atlanta,218,12606.47,1535.63
2025-07-01,Boston,214,12513.44,1576.27
2025-07-01,San Francisco,198,11625.63,1486.81
2025-07-01,Phoenix,198,11871.36,1375.05
2025-07-01,Seattle,186,10353.83,1353.35
2025-07-01,Minneapolis,171,10232.38,1239.78
2025-07-01,Detroit,156,9027.01,1015.78
2025-07-01,Denver,153,8785.51,1063.49
2025-07-01,Miami,183,10585.09,1362.91
2025-07-01,Tampa,135,7832.6,847.19
2025-07-01,Orlando,134,7750.13,873.19
2025-07-01,Portland,131,7615.97,878.55
2025-07-01,San Diego,135,7815.91,933.51
2025-07-01,St Louis,121,6743.33,932.11
2025-07-01,Sacramento,122,7363.79,900.24
2025-07-01,Charlotte,109,6460.69,775.72
2025-07-01,Pittsburgh,108,6209.84,751.76
2025-07-01,Indianapolis,107,6364.13,689.64
2025-07-01,Nashville,127,7248.77,876.86
2025-07-01,Austin,127,7110.05,896.5
2025-07-01,Las Vegas,125,7215.11,891.09
2025-07-01,Columbus,102,5969.41,707.13
2025-07-01,Milwaukee,94,5533.57,669.34
2025-07-02,New York,496,29788.68,3548.45
2025-07-02,Los Angeles,463,28236.95,3295.97
2025-07-02,Chicago,326,19367.08,2081.54
2025-07-02,Dallas-Fort Worth,291,16766.18,1921.99
2025-07-02,Houston,253,14689.77,1789.82
2025-07-02,Philadelphia,241,13803.58,1645.12
2025-07-02,Washington DC,233,13817.3,1665.93
2025-07-02,Atlanta,232,13504.98,1629.83
2025-07-02,Boston,217,12673.71,1575.12
2025-07-02,San Francisco,204,11647.82,1332.14
2025-07-02,Phoenix,202,12229.69,1363.71
2025-07-02,Seattle,193,10837.92,1357.54
2025-07-02,Minneapolis,171,9784.13,1222.62
2025-07-02,Detroit,157,9103.55,1193.14
2025-07-02,Denver,158,8894.16,1059.25
2025-07-02,Miami,193,11293.33,1199.57
2025-07-02,Tampa,146,7746.6,949.84
2025-07-02,Orlando,139,8101.6,923.13
2025-07-02,Portland,128,7419.78,921.38
2025-07-02,San Diego,133,7709.54,879.75
2025-07-02,St Louis,122,6954.67,902.28
2025-07-02,Sacramento,119,6984.6,859.63
2025-07-02,Charlotte,113,6511.86,829.32
2025-07-02,Pittsburgh,108,6083.29,737.77
2025-07-02,Indianapolis,108,6273.6,748.08
2025-07-02,Nashville,120,6788.43,788.51
2025-07-02,Austin,129,7572.91,916.41
2025-07-02,Las Vegas,126,7097.55,876.81
2025-07-02,Columbus,104,6017.21,724.27
2025-07-02,Milwaukee,97,5470.81,690.59
2025-07-03,New York,508,29460.71,3469.48
2025-07-03,Los Angeles,444,26598.77,3139.41
2025-07-03,Chicago,331,19298.4,2317.72
2025-07-03,Dallas-Fort Worth,285,16436.15,2028.79
2025-07-03,Houston,253,14967.9,1608.54
2025-07-03,Philadelphia,243,13689.78,1596.58
2025-07-03,Washington DC,238,14131.14,1704.31
2025-07-03,Atlanta,237,13728.87,1649.21
2025-07-03,Boston,218,12319.48,1535.4
2025-07-03,San Francisco,215,12244.04,1463.94
2025-07-03,Phoenix,202,11208.0,1346.85
2025-07-03,Seattle,189,11179.51,1287.94
2025-07-03,Minneapolis,174,10044.38,1184.02
2025-07-03,Detroit,155,8599.23,1060.89
2025-07-03,Denver,163,9303.94,1200.46
2025-07-03,Miami,191,11329.97,1345.64
2025-07-03,Tampa,147,8448.89,1053.97
2025-07-03,Orlando,145,8627.14,1041.02
2025-07-03,Portland,132,7528.96,935.0
2025-07-03,San Diego,140,8520.45,916.95
2025-07-03,St Louis,126,7291.07,904.92
2025-07-03,Sacramento,122,7083.1,815.2
2025-07-03,Charlotte,118,6682.73,789.67
2025-07-03,Pittsburgh,117,6609.09,794.55
2025-07-03,Indianapolis,105,5952.34,725.74
2025-07-03,Nashville,134,7599.09,877.07
2025-07-03,Austin,137,7697.99,988.37
2025-07-03,Las Vegas,134,7804.72,978.81
2025-07-03,Columbus,105,6220.92,700.45
2025-07-03,Milwaukee,101,5864.19,667.81
2025-07-04,New York,547,30987.16,3926.1
2025-07-04,Los Angeles,505,29689.75,3665.79
2025-07-04,Chicago,368,21198.91,2483.96
2025-07-04,Dallas-Fort Worth,310,17877.75,2202.0
2025-07-04,Houston,293,16845.19,2064.18
2025-07-04,Philadelphia,269,15537.77,1891.0
2025-07-04,Washington DC,256,14654.48,1745.3
2025-07-04,Atlanta,253,14621.19,1755.4
2025-07-04,Boston,247,14187.65,1669.3
2025-07-04,San Francisco,230,13407.51,1612.33
2025-07-04,Phoenix,218,12345.47,1511.85
2025-07-04,Seattle,218,12859.35,1469.44
2025-07-04,Minneapolis,185,10696.23,1304.85
2025-07-04,Detroit,179,10236.09,1192.81
2025-07-04,Denver,171,9797.58,1240.27
2025-07-04,Miami,198,11385.08,1528.35
2025-07-04,Tampa,167,9767.6,1196.72
2025-07-04,Orlando,156,8859.18,1036.09
2025-07-04,Portland,145,8426.96,969.43
2025-07-04,San Diego,151,8619.39,1088.1
2025-07-04,St Louis,134,7808.41,971.86
2025-07-04,Sacramento,133,7654.13,1000.21
2025-07-04,Charlotte,131,7526.21,895.5
2025-07-04,Pittsburgh,126,7300.5,854.8
2025-07-04,Indianapolis,120,6918.82,884.99
2025-07-04,Nashville,138,8036.95,910.53
2025-07-04,Austin,146,8318.71,1047.01
2025-07-04,Las Vegas,142,8223.86,871.84
2025-07-04,Columbus,116,6887.27,817.71
2025-07-04,Milwaukee,107,6225.82,803.34
2025-07-05,New York,585,33248.35,3979.83
2025-07-05,Los Angeles,546,31429.93,3733.22
2025-07-05,Chicago,380,22099.09,2626.66
2025-07-05,Dallas-Fort Worth,329,19119.79,2328.54
2025-07-05,Houston,295,16958.46,2072.73
2025-07-05,Philadelphia,280,17022.11,1983.97
2025-07-05,Washington DC,270,16010.06,1864.79
2025-07-05,Atlanta,264,15540.13,1896.95
2025-07-05,Boston,249,14495.41,1568.29
2025-07-05,San Francisco,250,14244.42,1782.81
2025-07-05,Phoenix,226,12872.64,1418.57
2025-07-05,Seattle,219,12695.73,1515.33
2025-07-05,Minneapolis,202,11384.0,1464.72
2025-07-05,Detroit,187,10868.98,1218.18
2025-07-05,Denver,168,9440.95,1183.89
2025-07-05,Miami,211,11872.21,1481.3
2025-07-05,Tampa,168,9681.58,1124.39
2025-07-05,Orlando,156,9269.01,1164.3
2025-07-05,Portland,159,9359.36,1029.34
2025-07-05,San Diego,160,9214.43,1033.48
2025-07-05,St Louis,138,7762.8,949.11
2025-07-05,Sacramento,139,8213.22,1022.34
2025-07-05,Charlotte,132,7789.91,929.83
2025-07-05,Pittsburgh,129,7560.98,943.38
2025-07-05,Indianapolis,127,7107.0,877.86
2025-07-05,Nashville,146,8212.34,979.64
2025-07-05,Austin,147,8550.02,982.5
2025-07-05,Las Vegas,144,8470.77,1037.22
2025-07-05,Columbus,120,6856.43,815.06
2025-07-05,Milwaukee,112,6522.77,823.05
2025-07-06,New York,567,32277.17,4159.96
2025-07-06,Los Angeles,512,29693.07,3495.41
2025-07-06,Chicago,377,21732.72,2666.23
2025-07-06,Dallas-Fort Worth,316,18343.8,2213.66
2025-07-06,Houston,294,16433.35,2049.61
2025-07-06,Philadelphia,281,16507.02,1934.96
2025-07-06,Washington DC,274,15533.99,1841.5
2025-07-06,Atlanta,258,14722.88,1847.44
2025-07-06,Boston,241,13560.48,1723.55
2025-07-06,San Francisco,236,13562.43,1733.0
2025-07-06,Phoenix,226,12286.76,1594.9
2025-07-06,Seattle,212,12310.31,1439.56
2025-07-06,Minneapolis,191,11115.82,1396.76
2025-07-06,Detroit,183,10745.04,1249.5
2025-07-06,Denver,179,10441.05,1248.85
2025-07-06,Miami,210,12332.56,1594.74
