date,dma,orders,revenue,ad_spend
2025-10-01,New York,286,15642.45,2448.61
2025-10-01,Los Angeles,252,12822.33,2083.0
2025-10-01,Chicago,167,9085.36,1351.48
2025-10-01,Dallas-Fort Worth,151,8788.17,1287.32
2025-10-01,Houston,139,7362.78,999.17
2025-10-01,Philadelphia,132,7735.92,1060.4
2025-10-01,Washington DC,122,6888.41,834.13
2025-10-01,Atlanta,114,6423.73,991.65
2025-10-01,Boston,111,6219.96,910.04
2025-10-01,San Francisco,121,6284.58,1023.01
2025-10-01,Phoenix,84,4014.79,631.22
2025-10-01,Seattle,88,5051.99,750.76
2025-10-01,Minneapolis,73,4185.11,525.47
2025-10-01,Detroit,81,4389.53,655.41
2025-10-01,Denver,89,5051.25,736.91
2025-10-01,Miami,104,5856.85,779.83
2025-10-01,Tampa,70,3759.53,587.96
2025-10-01,Orlando,71,4361.06,521.46
2025-10-01,Portland,59,3369.68,539.11
2025-10-01,San Diego,76,4354.69,694.72
2025-10-02,New York,248,13277.12,2173.05
2025-10-02,Los Angeles,216,11899.92,1771.76
2025-10-02,Chicago,173,9859.27,1464.38
2025-10-02,Dallas-Fort Worth,196,11114.16,1472.45
2025-10-02,Houston,132,6958.14,1156.56
2025-10-02,Philadelphia,123,6741.23,1057.73
2025-10-02,Washington DC,116,6286.32,757.13
2025-10-02,Atlanta,106,5664.5,883.26
2025-10-02,Boston,136,7473.09,1116.44
2025-10-02,San Francisco,116,6726.03,1010.9
2025-10-02,Phoenix,113,5900.85,985.67
2025-10-02,Seattle,109,6362.78,869.39
2025-10-02,Minneapolis,112,6049.47,1038.74
2025-10-02,Detroit,86,4607.9,610.36
2025-10-02,Denver,82,4830.96,709.55
2025-10-02,Miami,108,5234.37,925.43
2025-10-02,Tampa,86,4599.94,644.84
2025-10-02,Orlando,76,4540.5,543.85
2025-10-02,Portland,67,3935.91,512.09
2025-10-02,San Diego,70,3868.82,490.49
2025-10-03,New York,293,16828.25,2344.75
2025-10-03,Los Angeles,374,20858.84,3400.61
2025-10-03,Chicago,172,9402.23,1420.46
2025-10-03,Dallas-Fort Worth,203,10226.63,1784.88
2025-10-03,Houston,170,10066.93,1456.88
2025-10-03,Philadelphia,150,8034.82,1050.22
2025-10-03,Washington DC,147,8007.51,1413.58
2025-10-03,Atlanta,129,7208.66,870.08
2025-10-03,Boston,127,7076.21,1099.71
2025-10-03,San Francisco,148,8122.03,1051.72
2025-10-03,Phoenix,128,7221.98,1074.35
2025-10-03,Seattle,108,6276.62,871.59
2025-10-03,Minneapolis,109,6376.9,925.13
2025-10-03,Detroit,99,6031.1,811.3
2025-10-03,Denver,90,4977.71,826.76
2025-10-03,Miami,113,6376.4,1012.09
2025-10-03,Tampa,85,4271.41,700.36
2025-10-03,Orlando,87,4639.53,756.63
2025-10-03,Portland,85,4442.42,715.24
2025-10-03,San Diego,81,4124.66,677.35
2025-10-04,New York,349,19696.9,2928.28
2025-10-04,Los Angeles,311,17447.4,2740.55
2025-10-04,Chicago,208,11657.87,1664.46
2025-10-04,Dallas-Fort Worth,232,11571.85,1985.04
2025-10-04,Houston,171,9357.88,1628.14
2025-10-04,Philadelphia,165,10091.83,1261.64
2025-10-04,Washington DC,165,8852.28,1228.83
2025-10-04,Atlanta,154,8350.33,1256.95
2025-10-04,Boston,116,7018.79,912.5
2025-10-04,San Francisco,167,8722.48,1375.08
2025-10-04,Phoenix,179,9416.88,1217.87
2025-10-04,Seattle,122,6868.52,1043.67
2025-10-04,Minneapolis,127,6895.24,853.21
2025-10-04,Detroit,101,5899.47,845.63
2025-10-04,Denver,83,4557.0,756.84
2025-10-04,Miami,151,8538.24,1245.36
2025-10-04,Tampa,88,4635.94,707.3
2025-10-04,Orlando,99,5602.96,754.13
2025-10-04,Portland,78,4123.17,551.8
2025-10-04,San Diego,98,4766.84,757.87
2025-10-05,New York,435,24010.29,3828.45
2025-10-05,Los Angeles,316,16733.11,2357.51
2025-10-05,Chicago,258,14895.4,2164.6
2025-10-05,Dallas-Fort Worth,252,13837.59,2141.06
2025-10-05,Houston,182,9898.95,1793.23
2025-10-05,Philadelphia,190,9718.77,1459.22
2025-10-05,Washington DC,166,9487.52,1148.93
2025-10-05,Atlanta,118,5871.38,937.29
2025-10-05,Boston,146,8168.61,1078.1
2025-10-05,San Francisco,124,6130.14,1024.66
2025-10-05,Phoenix,140,8082.3,1208.57
2025-10-05,Seattle,127,7456.23,1002.15
2025-10-05,Minneapolis,104,5571.11,783.34
2025-10-05,Detroit,83,4600.68,680.59
2025-10-05,Denver,100,5303.69,829.74
2025-10-05,Miami,145,7990.25,1101.11
2025-10-05,Tampa,94,5151.97,656.89
2025-10-05,Orlando,93,5130.65,881.24
2025-10-05,Portland,97,5610.83,720.68
2025-10-05,San Diego,98,5082.94,808.46
2025-10-06,New York,249,15064.08,2105.02
2025-10-06,Los Angeles,179,10117.15,1373.66
2025-10-06,Chicago,165,9286.34,1371.55
2025-10-06,Dallas-Fort Worth,100,5181.46,861.81
2025-10-06,Houston,154,9275.99,1454.15
2025-10-06,Philadelphia,87,4969.1,562.63
2025-10-06,Washington DC,143,7964.63,1013.45
2025-10-06,Atlanta,144,8175.01,934.14
2025-10-06,Boston,113,5987.8,914.06
2025-10-06,San Francisco,98,5760.16,672.41
2025-10-06,Phoenix,104,6238.86,763.2
2025-10-06,Seattle,98,5444.44,729.93
2025-10-06,Minneapolis,90,4974.02,652.05
2025-10-06,Detroit,97,5546.16,763.03
2025-10-06,Denver,70,3699.01,628.93
2025-10-06,Miami,89,5007.45,698.87
2025-10-06,Tampa,80,4374.48,688.89
2025-10-06,Orlando,68,3895.13,580.58
2025-10-06,Portland,64,3368.68,463.87
2025-10-06,San Diego,61,3189.85,530.25
2025-10-07,New York,342,20953.71,2742.63
2025-10-07,Los Angeles,195,10520.45,1548.25
2025-10-07,Chicago,133,7223.38,1094.53
2025-10-07,Dallas-Fort Worth,132,6981.06,975.88
2025-10-07,Houston,164,8948.0,1203.11
2025-10-07,Philadelphia,117,6742.06,871.91
