date,dma,orders,revenue,ad_spend
2025-08-01,New York,446,27943.62,3496.95
2025-08-01,Los Angeles,397,24011.29,2753.83
2025-08-01,Chicago,284,16306.36,2049.43
2025-08-01,Dallas-Fort Worth,218,13546.72,1577.3
2025-08-01,Houston,204,12970.36,1472.98
2025-08-01,Philadelphia,187,11960.21,1481.69
2025-08-01,Washington DC,204,12866.08,1454.93
2025-08-01,Atlanta,193,11810.83,1464.13
2025-08-01,Boston,168,10198.07,1298.23
2025-08-01,San Francisco,178,11047.5,1444.8
2025-08-01,Phoenix,161,9310.16,1248.29
2025-08-01,Seattle,140,8207.46,1019.47
2025-08-01,Minneapolis,144,9077.84,1059.64
2025-08-01,Detroit,132,7841.05,1147.51
2025-08-01,Denver,124,7651.59,915.6
2025-08-01,Miami,159,9910.57,1206.37
2025-08-01,Tampa,118,7226.69,896.3
2025-08-01,Orlando,114,7090.61,821.68
2025-08-01,Portland,115,7253.11,958.86
2025-08-01,San Diego,116,7246.55,867.19
2025-08-01,St Louis,104,6464.83,731.59
2025-08-01,Sacramento,92,5312.76,752.5
2025-08-01,Charlotte,100,5931.25,701.4
2025-08-01,Pittsburgh,88,5342.79,680.14
2025-08-01,Indianapolis,90,5631.65,700.01
2025-08-01,Nashville,104,6560.39,697.24
2025-08-01,Austin,103,6504.31,677.35
2025-08-01,Las Vegas,111,7159.2,840.93
2025-08-01,Columbus,87,5339.77,708.63
2025-08-01,Milwaukee,84,5242.62,567.09
2025-08-02,New York,477,30156.75,3505.03
2025-08-02,Los Angeles,454,29643.19,3052.07
2025-08-02,Chicago,304,18244.57,2156.75
2025-08-02,Dallas-Fort Worth,262,15812.62,1807.73
2025-08-02,Houston,228,14997.94,1695.35
2025-08-02,Philadelphia,217,13690.54,1476.12
2025-08-02,Washington DC,218,13881.57,1635.42
2025-08-02,Atlanta,203,11618.82,1622.09
2025-08-02,Boston,200,12872.75,1670.11
2025-08-02,San Francisco,185,11578.59,1276.59
2025-08-02,Phoenix,188,11532.37,1480.97
2025-08-02,Seattle,171,10345.75,1184.01
2025-08-02,Minneapolis,157,10197.17,993.57
2025-08-02,Detroit,136,8285.72,956.55
2025-08-02,Denver,132,8562.2,934.79
2025-08-02,Miami,180,10841.07,1131.39
2025-08-02,Tampa,138,8938.54,1081.62
2025-08-02,Orlando,137,8245.23,933.25
2025-08-02,Portland,126,7675.89,982.12
2025-08-02,San Diego,123,7528.89,940.16
2025-08-02,St Louis,112,6941.74,808.95
2025-08-02,Sacramento,115,7127.85,827.7
2025-08-02,Charlotte,107,6407.63,827.14
2025-08-02,Pittsburgh,111,6864.66,770.3
2025-08-02,Indianapolis,94,5777.34,650.87
2025-08-02,Nashville,109,6775.3,781.32
2025-08-02,Austin,123,7640.98,893.85
2025-08-02,Las Vegas,124,7937.89,914.43
2025-08-02,Columbus,93,5939.86,756.19
2025-08-02,Milwaukee,90,5495.26,747.63
2025-08-03,New York,485,29590.91,3726.32
2025-08-03,Los Angeles,431,26832.15,3392.25
2025-08-03,Chicago,312,19915.7,2143.86
2025-08-03,Dallas-Fort Worth,231,14886.55,1770.4
2025-08-03,Houston,239,14726.0,1946.62
2025-08-03,Philadelphia,227,13789.26,1826.13
2025-08-03,Washington DC,195,11272.63,1489.39
2025-08-03,Atlanta,211,12774.32,1602.65
2025-08-03,Boston,200,12429.07,1610.75
2025-08-03,San Francisco,199,12372.42,1402.56
2025-08-03,Phoenix,180,11112.29,1233.74
2025-08-03,Seattle,163,10010.88,1149.43
2025-08-03,Minneapolis,153,9691.3,1235.53
2025-08-03,Detroit,147,9137.45,1073.36
2025-08-03,Denver,143,8871.83,1030.52
2025-08-03,Miami,158,9978.01,1060.75
2025-08-03,Tampa,138,8681.59,1063.45
2025-08-03,Orlando,127,8113.04,913.22
2025-08-03,Portland,120,7092.0,866.18
2025-08-03,San Diego,119,7020.02,970.58
2025-08-03,St Louis,114,7000.73,749.9
2025-08-03,Sacramento,108,6770.4,814.49
2025-08-03,Charlotte,98,6274.51,820.83
2025-08-03,Pittsburgh,101,5988.91,762.1
2025-08-03,Indianapolis,93,5733.14,710.43
