date,dma,orders,revenue,ad_spend
2025-11-01,New York,203,8062.28,1283.51
2025-11-01,Los Angeles,326,13252.92,1774.29
2025-11-01,Chicago,228,9503.77,1346.2
2025-11-01,Dallas-Fort Worth,161,6812.8,993.31
2025-11-01,Houston,146,6641.78,824.42
2025-11-01,Philadelphia,164,6353.64,885.7
2025-11-01,Washington DC,184,8008.68,1127.7
2025-11-01,Atlanta,125,5342.83,675.53
2025-11-01,Boston,175,6383.87,1009.57
2025-11-01,San Francisco,112,5008.55,658.7
2025-11-01,Phoenix,166,7475.95,1041.29
2025-11-01,Seattle,80,3233.35,456.04
2025-11-01,Minneapolis,117,5007.28,608.66
2025-11-01,Detroit,120,4784.29,694.52
2025-11-01,Denver,105,4381.38,728.84
2025-11-01,Miami,149,5845.27,793.36
2025-11-01,Tampa,121,5110.79,771.62
2025-11-01,Orlando,91,4057.16,588.13
2025-11-01,Portland,100,4057.89,636.45
2025-11-01,San Diego,57,2365.18,320.27
2025-11-02,New York,265,10012.77,1786.91
2025-11-02,Los Angeles,282,11739.03,1776.81
2025-11-02,Chicago,252,11291.45,1446.74
2025-11-02,Dallas-Fort Worth,177,7097.49,1139.82
2025-11-02,Houston,160,7025.46,1039.42
2025-11-02,Philadelphia,176,7590.17,1065.19
2025-11-02,Washington DC,101,4311.8,708.02
2025-11-02,Atlanta,124,5031.61,789.98
2025-11-02,Boston,185,7365.55,841.84
2025-11-02,San Francisco,109,4600.82,644.66
2025-11-02,Phoenix,115,4708.6,645.37
2025-11-02,Seattle,94,4019.06,596.29
2025-11-02,Minneapolis,63,2855.29,394.69
2025-11-02,Detroit,108,4471.85,664.51
2025-11-02,Denver,69,3127.43,472.58
2025-11-02,Miami,105,4119.22,610.73
2025-11-02,Tampa,103,4240.82,568.83
2025-11-02,Orlando,88,3534.52,598.5
2025-11-02,Portland,97,4209.21,540.8
2025-11-02,San Diego,87,3856.68,412.74
2025-11-03,New York,391,17909.43,2123.0
2025-11-03,Los Angeles,263,11622.78,1768.28
2025-11-03,Chicago,78,2946.83,475.22
2025-11-03,Dallas-Fort Worth,159,6636.41,922.72
2025-11-03,Houston,178,8028.29,1004.75
2025-11-03,Philadelphia,127,5025.46,894.24
2025-11-03,Washington DC,70,2782.7,382.63
2025-11-03,Atlanta,79,3529.95,584.05
2025-11-03,Boston,117,4831.43,752.67
2025-11-03,San Francisco,77,3450.32,460.32
2025-11-03,Phoenix,112,4541.42,658.26
2025-11-03,Seattle,51,2144.0,333.24
2025-11-03,Minneapolis,39,1555.29,222.86
2025-11-03,Detroit,71,2968.54,424.08
2025-11-03,Denver,83,3479.81,414.24
2025-11-03,Miami,100,4452.72,615.48
2025-11-03,Tampa,36,1529.56,226.27
2025-11-03,Orlando,50,2108.0,338.29
2025-11-03,Portland,96,4057.5,605.23
2025-11-03,San Diego,65,2674.06,444.02
2025-11-04,New York,359,14681.04,2470.05
2025-11-04,Los Angeles,344,13514.89,2288.68
2025-11-04,Chicago,192,8176.28,919.63
2025-11-04,Dallas-Fort Worth,96,4231.49,531.82
2025-11-04,Houston,176,6901.48,900.21
2025-11-04,Philadelphia,202,8869.77,1196.44
2025-11-04,Washington DC,138,5590.65,857.48
2025-11-04,Atlanta,164,6744.91,1031.79
2025-11-04,Boston,68,3113.26,448.99
2025-11-04,San Francisco,115,4749.24,787.36
2025-11-04,Phoenix,97,4149.32,563.73
2025-11-04,Seattle,81,3578.71,465.97
2025-11-04,Minneapolis,103,4250.87,609.69
2025-11-04,Detroit,83,3371.86,534.52
2025-11-04,Denver,83,3636.38,535.19
2025-11-04,Miami,134,5489.69,857.36
2025-11-04,Tampa,79,3314.29,440.14
2025-11-04,Orlando,68,2945.99,394.05
2025-11-04,Portland,59,2583.1,366.63
2025-11-04,San Diego,52,2195.54,347.2
2025-11-05,New York,285,11305.24,1647.49
2025-11-05,Los Angeles,381,16597.06,1761.66
2025-11-05,Chicago,236,8812.84,1689.65
