date,state,orders,revenue,ad_spend
2024-09-01,CA,169,9714.21,170.28
2024-09-01,FL,102,6083.98,120.83
2024-09-01,GA,76,4737.13,96.4
2024-09-01,IL,89,5668.54,63.91
2024-09-01,MI,45,2559.14,59.54
2024-09-01,NC,56,3359.74,90.56
2024-09-01,NY,141,7963.45,114.43
2024-09-01,OH,46,2766.72,76.35
2024-09-01,PA,61,3425.58,59.53
2024-09-01,TX,106,5953.0,62.75
2024-09-02,CA,142,8543.77,216.02
2024-09-02,FL,93,5358.62,145.5
2024-09-02,GA,68,3840.3,82.04
2024-09-02,IL,64,3857.44,68.39
2024-09-02,MI,40,2334.18,37.4
2024-09-02,NC,45,2696.93,43.59
2024-09-02,NY,121,6871.51,87.61
2024-09-02,OH,57,3467.62,50.91
2024-09-02,PA,48,2953.76,80.35
2024-09-02,TX,94,5348.29,121.96
2024-09-03,CA,134,8125.56,188.65
2024-09-03,FL,74,4145.3,77.73
2024-09-03,GA,62,3959.62,93.69
2024-09-03,IL,77,4685.47,83.71
2024-09-03,MI,40,2270.14,71.98
2024-09-03,NC,40,2486.43,42.26
2024-09-03,NY,123,7723.57,135.02
2024-09-03,OH,49,3006.4,38.16
2024-09-03,PA,54,3425.82,89.9
2024-09-03,TX,92,5273.71,130.24
2024-09-04,CA,112,7130.9,174.38
2024-09-04,FL,88,5621.88,119.37
2024-09-04,GA,72,4078.76,57.17
2024-09-04,IL,64,3922.04,95.77
2024-09-04,MI,43,2505.38,54.61
2024-09-04,NC,41,2491.6,46.09
2024-09-04,NY,110,6706.31,131.19
2024-09-04,OH,54,3434.01,38.5
2024-09-04,PA,49,2801.41,27.55
2024-09-04,TX,94,5809.48,58.49
2024-09-05,CA,161,9483.46,286.86
2024-09-05,FL,80,4865.31,105.87
2024-09-05,GA,54,3397.79,59.42
2024-09-05,IL,54,3434.98,92.72
2024-09-05,MI,39,2424.8,28.86
2024-09-05,NC,47,2801.48,64.18
2024-09-05,NY,109,6905.86,143.16
2024-09-05,OH,47,2937.09,49.72
2024-09-05,PA,57,3483.01,38.43
2024-09-05,TX,99,5972.74,70.12
2024-09-06,CA,158,9764.06,211.82
2024-09-06,FL,84,5363.94,117.77
2024-09-06,GA,75,4544.85,113.0
2024-09-06,IL,67,3855.89,82.84
2024-09-06,MI,41,2412.58,67.85
2024-09-06,NC,48,2951.19,59.36
2024-09-06,NY,136,8226.67,119.55
2024-09-06,OH,54,3206.9,63.14
2024-09-06,PA,54,3125.69,59.83
2024-09-06,TX,110,6898.37,150.36
2024-09-07,CA,171,10667.5,114.19
2024-09-07,FL,104,6113.31,171.61
2024-09-07,GA,65,3769.07,97.18
2024-09-07,IL,63,3680.88,78.91
2024-09-07,MI,45,2713.77,57.5
2024-09-07,NC,48,2969.16,71.23
2024-09-07,NY,131,7488.57,155.94
2024-09-07,OH,64,3772.52,82.56
2024-09-07,PA,60,3459.77,93.58
2024-09-07,TX,126,7203.14,97.39
2024-09-08,CA,163,9710.19,226.33
2024-09-08,FL,106,6394.38,85.83
2024-09-08,GA,69,4184.74,53.59
2024-09-08,IL,86,5386.05,48.49
2024-09-08,MI,52,3050.48,44.84
2024-09-08,NC,48,2749.92,29.52
2024-09-08,NY,143,8802.22,186.99
2024-09-08,OH,63,3864.0,110.95
2024-09-08,PA,61,3820.03,60.21
2024-09-08,TX,130,7510.94,96.78
2024-09-09,CA,115,6728.56,203.21
2024-09-09,FL,85,5022.8,127.64
2024-09-09,GA,61,3712.25,64.44
2024-09-09,IL,68,4036.91,119.34
2024-09-09,MI,43,2676.73,29.06
2024-09-09,NC,33,1871.96,38.86
2024-09-09,NY,119,7188.77,80.45
2024-09-09,OH,47,2689.42,29.73
2024-09-09,PA,49,3023.76,47.54
2024-09-09,TX,80,5006.17,140.12
2024-09-10,CA,163,10195.36,230.1
2024-09-10,FL,86,4981.33,98.87
2024-09-10,GA,54,3052.07,59.5
2024-09-10,IL,83,4729.47,76.49
2024-09-10,MI,35,2086.43,32.61
2024-09-10,NC,39,2430.09,30.26
2024-09-10,NY,111,6686.75,72.82
2024-09-10,OH,57,3197.85,91.75
2024-09-10,PA,61,3845.65,74.42
2024-09-10,TX,103,5925.41,53.34
2024-09-11,CA,136,8046.65,195.42
2024-09-11,FL,91,5750.24,98.51
2024-09-11,GA,60,3502.23,88.19
2024-09-11,IL,65,3727.42,95.51
2024-09-11,MI,47,2921.56,29.14
2024-09-11,NC,50,3146.22,58.57
2024-09-11,NY,133,7610.02,97.07
2024-09-11,OH,56,3581.3,61.58
2024-09-11,PA,55,3131.9,79.0
2024-09-11,TX,69,4411.79,58.16
2024-09-12,CA,122,7409.27,202.16
2024-09-12,FL,85,5219.18,72.02
2024-09-12,GA,62,3873.85,34.62
2024-09-12,IL,72,4524.25,128.41
2024-09-12,MI,44,2662.14,41.38
2024-09-12,NC,48,2981.92,47.12
2024-09-12,NY,121,7269.94,180.97
2024-09-12,OH,46,2614.44,66.52
2024-09-12,PA,62,3722.6,84.85
2024-09-12,TX,91,5257.36,151.98
2024-09-13,CA,146,8458.42,176.57
2024-09-13,FL,91,5436.16,47.9
2024-09-13,GA,63,3692.32,109.86
2024-09-13,IL,79,4479.92,115.45
2024-09-13,MI,45,2720.16,71.46
2024-09-13,NC,44,2544.56,74.09
2024-09-13,NY,116,7155.51,193.54
2024-09-13,OH,53,3299.5,94.47
2024-09-13,PA,59,3407.5,31.77
2024-09-13,TX,91,5240.55,145.76
2024-09-14,CA,165,9423.51,251.01
2024-09-14,FL,97,6061.4,104.64
2024-09-14,GA,68,4311.18,36.99
2024-09-14,IL,74,4556.0,44.73
2024-09-14,MI,46,2894.98,27.68
2024-09-14,NC,51,3121.83,79.87
2024-09-14,NY,113,6481.97,129.15
2024-09-14,OH,48,2744.39,86.07
2024-09-14,PA,51,2882.36,36.24
2024-09-14,TX,104,6500.18,85.39
2024-09-15,CA,152,9265.52,240.85
2024-09-15,FL,105,6288.26,155.75
2024-09-15,GA,75,4721.12,91.48
2024-09-15,IL,85,5368.55,129.58
2024-09-15,MI,59,3339.99,92.68
2024-09-15,NC,45,2714.22,48.52
2024-09-15,NY,122,6876.46,190.45
2024-09-15,OH,56,3450.74,87.56
2024-09-15,PA,60,3363.99,89.39
2024-09-15,TX,96,5544.16,87.45
2024-09-16,CA,110,6946.61,166.33
2024-09-16,FL,61,3594.12,74.4
2024-09-16,GA,68,4222.82,78.4
2024-09-16,IL,64,3898.96,53.74
2024-09-16,MI,52,3024.4,85.51
2024-09-16,NC,40,2283.39,66.24
2024-09-16,NY,88,5538.88,138.26
2024-09-16,OH,48,2730.09,47.7
2024-09-16,PA,52,3193.24,42.86
2024-09-16,TX,67,4091.44,86.06
2024-09-17,CA,107,6661.13,73.06
2024-09-17,FL,91,5440.88,150.38
2024-09-17,GA,73,4371.06,51.17
2024-09-17,IL,71,4034.87,123.27
2024-09-17,MI,46,2754.02,40.14
2024-09-17,NC,39,2244.02,30.82
2024-09-17,NY,100,5710.13,96.63
2024-09-17,OH,45,2697.26,55.33
2024-09-17,PA,54,3232.66,40.12
