date,state,orders,revenue,ad_spend
2024-09-01,CA,167,10150.39,98.67
2024-09-01,FL,111,6795.5,104.1
2024-09-01,GA,69,4153.83,73.18
2024-09-01,IL,80,5092.52,129.54
2024-09-01,MI,47,2800.81,76.07
2024-09-01,NC,56,3567.22,30.71
2024-09-01,NY,142,8731.17,208.41
2024-09-01,OH,57,3339.94,46.29
2024-09-01,PA,59,3529.7,58.73
2024-09-01,TX,109,6288.87,58.18
2024-09-02,CA,136,7959.22,147.26
2024-09-02,FL,85,4775.54,57.23
2024-09-02,GA,58,3310.42,45.69
2024-09-02,IL,62,3607.99,95.63
2024-09-02,MI,38,2382.89,22.67
2024-09-02,NC,44,2508.45,71.88
2024-09-02,NY,108,6202.51,132.37
2024-09-02,OH,47,2658.37,80.56
2024-09-02,PA,52,3090.51,42.01
2024-09-02,TX,91,5259.75,71.77
2024-09-03,CA,145,8284.92,221.43
2024-09-03,FL,88,5118.69,100.23
2024-09-03,GA,62,3830.24,43.74
2024-09-03,IL,73,4577.74,125.01
2024-09-03,MI,42,2355.96,72.11
2024-09-03,NC,43,2720.16,51.82
2024-09-03,NY,118,6780.42,209.79
2024-09-03,OH,47,2997.79,37.49
2024-09-03,PA,55,3308.18,85.63
2024-09-03,TX,100,6129.94,106.5
2024-09-04,CA,143,8032.29,240.88
2024-09-04,FL,87,4982.8,103.52
2024-09-04,GA,58,3308.33,46.04
2024-09-04,IL,72,4226.61,65.57
2024-09-04,MI,39,2207.68,69.64
2024-09-04,NC,44,2655.75,73.85
2024-09-04,NY,134,8040.14,67.91
2024-09-04,OH,49,3004.85,30.97
2024-09-04,PA,54,3297.98,64.62
2024-09-04,TX,96,6131.46,110.02
2024-09-05,CA,140,8778.38,209.92
2024-09-05,FL,85,4877.69,73.05
2024-09-05,GA,62,3761.82,49.94
2024-09-05,IL,69,4000.33,122.24
2024-09-05,MI,41,2300.34,38.53
2024-09-05,NC,44,2520.8,76.02
2024-09-05,NY,123,7553.87,163.59
2024-09-05,OH,48,2918.97,84.76
2024-09-05,PA,54,3031.66,78.33
2024-09-05,TX,98,5521.39,66.74
2024-09-06,CA,147,8635.91,226.67
2024-09-06,FL,89,5255.75,93.02
2024-09-06,GA,60,3781.73,103.39
