date,dma,orders,revenue,ad_spend
2025-07-01,Atlanta,106,6748.22,76.26
2025-07-01,Baltimore,23,1427.05,24.99
2025-07-01,Boston,104,7030.39,115.31
2025-07-01,Charlotte,42,2622.92,16.9
2025-07-01,Chicago,164,10518.5,86.85
2025-07-01,Columbus OH,23,1531.51,20.91
2025-07-01,Dallas-Ft. Worth,145,9802.43,199.87
2025-07-01,Denver,69,4547.35,57.79
2025-07-01,Hartford,20,1258.92,17.52
2025-07-01,Houston,129,8106.23,104.63
2025-07-01,Indianapolis,33,2093.43,21.52
2025-07-01,Kansas City,17,1123.84,23.11
2025-07-01,Los Angeles,177,11999.2,63.89
2025-07-01,Miami,53,3247.61,37.49
2025-07-01,Milwaukee,23,1425.32,7.55
2025-07-01,Minneapolis,68,4193.25,88.8
2025-07-01,Nashville,27,1775.12,22.07
2025-07-01,New York,197,12130.27,72.39
2025-07-01,Orlando,55,3735.51,77.79
2025-07-01,Philadelphia,148,10005.72,50.68
2025-07-01,Phoenix,82,4795.97,54.84
2025-07-01,Pittsburgh,30,1929.18,41.45
2025-07-01,Portland OR,38,2444.48,46.91
2025-07-01,Sacramento,49,3070.88,67.17
2025-07-01,San Antonio,39,2470.23,16.05
2025-07-01,San Francisco,96,5988.27,87.97
2025-07-01,Seattle,81,4762.09,28.59
2025-07-01,St. Louis,41,2736.64,50.57
2025-07-01,Tampa,76,4607.02,87.51
2025-07-01,Washington DC,122,7768.96,96.63
2025-07-02,Atlanta,120,7147.27,135.85
2025-07-02,Baltimore,24,1441.98,27.71
2025-07-02,Boston,102,6312.18,136.3
2025-07-02,Charlotte,42,2586.84,39.27
2025-07-02,Chicago,169,10448.2,120.61
2025-07-02,Columbus OH,22,1398.5,28.58
2025-07-02,Dallas-Ft. Worth,145,8517.96,94.65
2025-07-02,Denver,71,4218.48,63.94
2025-07-02,Hartford,20,1250.34,27.76
2025-07-02,Houston,133,7890.05,163.06
2025-07-02,Indianapolis,36,2192.3,35.44
2025-07-02,Kansas City,18,1062.44,8.11
2025-07-02,Los Angeles,185,11495.5,213.56
2025-07-02,Miami,55,3618.49,53.36
2025-07-02,Milwaukee,23,1527.95,13.03
2025-07-02,Minneapolis,68,4393.49,27.24
2025-07-02,Nashville,27,1695.19,31.86
2025-07-02,New York,211,14140.25,242.7
2025-07-02,Orlando,55,3467.12,57.29
2025-07-02,Philadelphia,151,9893.59,192.08
2025-07-02,Phoenix,86,5222.02,124.09
2025-07-02,Pittsburgh,30,2026.87,10.33
2025-07-02,Portland OR,40,2479.79,20.05
2025-07-02,Sacramento,48,2989.06,59.99
2025-07-02,San Antonio,38,2214.74,28.49
2025-07-02,San Francisco,99,6260.3,125.44
2025-07-02,Seattle,82,5409.34,38.93
2025-07-02,St. Louis,42,2653.11,46.5
2025-07-02,Tampa,75,5022.09,45.35
2025-07-02,Washington DC,128,8400.69,85.83
2025-07-03,Atlanta,117,6988.33,83.76
2025-07-03,Baltimore,22,1327.99,24.93
2025-07-03,Boston,105,6943.24,58.03
2025-07-03,Charlotte,43,2870.22,44.9
2025-07-03,Chicago,179,10811.96,75.99
2025-07-03,Columbus OH,24,1476.87,27.17
2025-07-03,Dallas-Ft. Worth,151,9200.38,65.25
2025-07-03,Denver,69,4312.98,33.22
2025-07-03,Hartford,20,1238.5,21.04
2025-07-03,Houston,131,8815.26,191.85
2025-07-03,Indianapolis,35,2241.38,29.5
2025-07-03,Kansas City,19,1129.01,25.25
2025-07-03,Los Angeles,187,11448.12,260.94
2025-07-03,Miami,55,3234.14,46.8
2025-07-03,Milwaukee,22,1440.53,18.78
2025-07-03,Minneapolis,67,4489.74,26.27
2025-07-03,Nashville,27,1605.88,27.16
2025-07-03,New York,202,12086.31,275.65
2025-07-03,Orlando,54,3663.12,72.67
2025-07-03,Philadelphia,149,8698.66,193.68
2025-07-03,Phoenix,85,5028.8,71.54
2025-07-03,Pittsburgh,29,1887.65,25.0
2025-07-03,Portland OR,39,2503.17,18.69
2025-07-03,Sacramento,51,3325.83,21.21
2025-07-03,San Antonio,37,2355.9,49.14
2025-07-03,San Francisco,106,7181.15,63.34
2025-07-03,Seattle,76,4454.16,72.27
2025-07-03,St. Louis,43,2530.78,40.52
2025-07-03,Tampa,76,4841.03,64.08
2025-07-03,Washington DC,123,7696.0,53.67
2025-07-04,Atlanta,121,7698.11,81.52
2025-07-04,Baltimore,23,1371.44,26.45
2025-07-04,Boston,111,7156.09,47.61
2025-07-04,Charlotte,46,3014.35,46.86
2025-07-04,Chicago,176,11092.87,74.09
2025-07-04,Columbus OH,23,1393.63,16.19
2025-07-04,Dallas-Ft. Worth,147,8718.39,211.45
2025-07-04,Denver,72,4228.83,97.3
2025-07-04,Hartford,21,1362.44,16.52
2025-07-04,Houston,136,8860.41,171.86
2025-07-04,Indianapolis,35,2237.73,14.61
2025-07-04,Kansas City,19,1170.42,16.18
2025-07-04,Los Angeles,200,11712.09,97.88
2025-07-04,Miami,57,3744.08,69.4
2025-07-04,Milwaukee,23,1522.8,31.73
