date,dma,orders,revenue,ad_spend
2025-07-01,Atlanta,115,7706.18,157.54
2025-07-01,Baltimore,29,1926.75,41.26
2025-07-01,Boston,100,5955.32,80.92
2025-07-01,Charlotte,38,2330.2,35.21
2025-07-01,Chicago,183,10945.76,216.41
2025-07-01,Columbus OH,21,1237.44,28.29
2025-07-01,Dallas-Ft. Worth,130,8562.74,124.88
2025-07-01,Denver,65,3787.22,41.47
2025-07-01,Hartford,27,1574.24,15.63
2025-07-01,Houston,122,7122.8,128.1
2025-07-01,Indianapolis,40,2353.89,39.28
2025-07-01,Kansas City,18,1144.54,23.31
2025-07-01,Los Angeles,192,12929.24,118.77
2025-07-01,Miami,62,3739.98,89.02
2025-07-01,Milwaukee,15,936.16,19.26
2025-07-01,Minneapolis,69,4333.32,67.04
2025-07-01,Nashville,27,1594.17,10.86
2025-07-01,New York,184,12243.68,135.35
2025-07-01,Orlando,48,3236.36,53.21
2025-07-01,Philadelphia,160,10372.08,56.02
2025-07-01,Phoenix,82,5172.26,36.63
2025-07-01,Pittsburgh,36,2315.48,18.39
2025-07-01,Portland OR,37,2155.39,26.64
2025-07-01,Sacramento,46,3052.34,50.79
2025-07-01,San Antonio,32,1862.44,21.55
2025-07-01,San Francisco,95,5960.59,46.47
2025-07-01,Seattle,89,5902.73,114.3
2025-07-01,St. Louis,42,2515.07,55.45
2025-07-01,Tampa,76,4534.52,75.43
2025-07-01,Washington DC,130,8801.65,186.79
2025-07-02,Atlanta,103,6407.0,70.92
2025-07-02,Baltimore,31,2076.74,12.55
2025-07-02,Boston,101,6625.32,59.68
2025-07-02,Charlotte,40,2403.19,48.55
2025-07-02,Chicago,161,9772.11,178.18
2025-07-02,Columbus OH,23,1359.77,19.56
2025-07-02,Dallas-Ft. Worth,148,9501.2,87.09
2025-07-02,Denver,60,3834.39,68.18
2025-07-02,Hartford,26,1687.05,11.71
2025-07-02,Houston,137,8555.68,127.25
2025-07-02,Indianapolis,40,2544.25,18.68
2025-07-02,Kansas City,19,1126.91,16.05
2025-07-02,Los Angeles,188,11734.78,170.9
2025-07-02,Miami,65,4335.27,38.82
2025-07-02,Milwaukee,15,947.11,9.43
2025-07-02,Minneapolis,69,4623.92,60.57
2025-07-02,Nashville,31,1819.87,33.16
2025-07-02,New York,195,12252.95,236.69
2025-07-02,Orlando,49,3161.66,43.43
2025-07-02,Philadelphia,182,11535.03,138.9
2025-07-02,Phoenix,82,5516.08,87.63
2025-07-02,Pittsburgh,38,2497.52,12.24
2025-07-02,Portland OR,43,2908.65,63.19
2025-07-02,Sacramento,48,3001.92,15.91
2025-07-02,San Antonio,29,1777.01,33.16
2025-07-02,San Francisco,97,5887.18,31.91
2025-07-02,Seattle,86,5560.09,48.82
2025-07-02,St. Louis,42,2493.48,47.44
2025-07-02,Tampa,80,4793.1,92.13
2025-07-02,Washington DC,122,7224.08,145.15
2025-07-03,Atlanta,111,6723.37,113.01
2025-07-03,Baltimore,33,2199.94,15.85
2025-07-03,Boston,106,6693.47,46.24
2025-07-03,Charlotte,38,2467.79,39.49
2025-07-03,Chicago,186,11172.78,201.48
2025-07-03,Columbus OH,22,1417.0,7.15
2025-07-03,Dallas-Ft. Worth,150,9165.41,85.46
2025-07-03,Denver,59,3745.57,18.01
2025-07-03,Hartford,28,1742.16,16.5
2025-07-03,Houston,139,9369.28,62.39
2025-07-03,Indianapolis,42,2708.75,21.32
2025-07-03,Kansas City,19,1172.49,16.49
2025-07-03,Los Angeles,190,11463.24,112.15
2025-07-03,Miami,63,3940.68,54.03
2025-07-03,Milwaukee,15,903.07,4.62
2025-07-03,Minneapolis,71,4412.66,97.52
2025-07-03,Nashville,31,1888.25,35.82
2025-07-03,New York,203,13096.56,122.42
2025-07-03,Orlando,54,3658.3,25.83
