date,dma,orders,revenue,ad_spend
2025-07-01,Atlanta,114,7341.47,111.61
2025-07-01,Baltimore,25,1561.5,27.33
2025-07-01,Boston,103,6533.25,132.46
2025-07-01,Charlotte,38,2508.03,25.31
2025-07-01,Chicago,175,11808.72,248.6
2025-07-01,Columbus OH,24,1630.78,9.18
2025-07-01,Dallas-Ft. Worth,141,9574.98,56.97
2025-07-01,Denver,66,4162.36,51.38
2025-07-01,Hartford,28,1808.64,29.56
2025-07-01,Houston,137,7979.02,121.13
2025-07-01,Indianapolis,34,1998.31,49.9
2025-07-01,Kansas City,23,1451.19,19.82
2025-07-01,Los Angeles,182,10912.05,108.08
2025-07-01,Miami,66,4420.14,81.48
2025-07-01,Milwaukee,22,1493.29,12.76
2025-07-01,Minneapolis,72,4271.19,46.62
2025-07-01,Nashville,25,1684.32,11.26
2025-07-01,New York,203,12113.51,191.26
2025-07-01,Orlando,51,3374.29,50.56
2025-07-01,Philadelphia,158,9576.22,93.25
2025-07-01,Phoenix,84,5087.07,50.49
2025-07-01,Pittsburgh,27,1817.72,22.05
2025-07-01,Portland OR,37,2393.72,21.02
2025-07-01,Sacramento,49,2985.69,49.01
2025-07-01,San Antonio,38,2282.48,19.14
2025-07-01,San Francisco,94,6043.13,109.32
2025-07-01,Seattle,80,5312.2,43.95
2025-07-01,St. Louis,48,3103.1,37.17
2025-07-01,Tampa,79,5121.24,28.6
2025-07-01,Washington DC,128,7888.82,55.79
2025-07-02,Atlanta,119,7242.97,124.11
2025-07-02,Baltimore,24,1620.49,12.28
2025-07-02,Boston,106,6199.89,97.61
2025-07-02,Charlotte,38,2551.67,14.3
2025-07-02,Chicago,169,10669.35,53.56
2025-07-02,Columbus OH,24,1506.19,12.34
2025-07-02,Dallas-Ft. Worth,152,9596.87,150.39
2025-07-02,Denver,67,3952.44,80.57
2025-07-02,Hartford,29,1759.85,20.68
2025-07-02,Houston,133,8293.61,181.01
2025-07-02,Indianapolis,34,2302.46,24.46
2025-07-02,Kansas City,24,1443.33,13.72
2025-07-02,Los Angeles,175,11865.66,94.69
2025-07-02,Miami,65,4112.77,74.49
2025-07-02,Milwaukee,24,1443.77,23.99
2025-07-02,Minneapolis,74,4718.28,60.96
2025-07-02,Nashville,25,1457.62,22.31
2025-07-02,New York,190,12352.66,196.68
2025-07-02,Orlando,52,3310.86,76.12
2025-07-02,Philadelphia,164,9604.07,150.67
2025-07-02,Phoenix,89,5539.39,40.59
2025-07-02,Pittsburgh,26,1654.5,9.39
2025-07-02,Portland OR,39,2576.55,51.37
2025-07-02,Sacramento,48,2878.56,16.89
2025-07-02,San Antonio,38,2490.25,36.47
2025-07-02,San Francisco,95,5821.51,53.78
2025-07-02,Seattle,77,4672.69,99.56
2025-07-02,St. Louis,51,3452.38,63.76
2025-07-02,Tampa,81,5236.4,53.72
2025-07-02,Washington DC,129,7677.92,74.95
2025-07-03,Atlanta,115,7664.55,49.01
2025-07-03,Baltimore,25,1631.89,22.96
2025-07-03,Boston,100,6763.3,66.58
2025-07-03,Charlotte,38,2423.58,13.54
2025-07-03,Chicago,173,10137.89,152.62
2025-07-03,Columbus OH,25,1592.94,35.85
2025-07-03,Dallas-Ft. Worth,148,9581.22,98.57
2025-07-03,Denver,68,4245.64,60.29
2025-07-03,Hartford,28,1856.14,21.72
2025-07-03,Houston,131,7876.92,51.69
2025-07-03,Indianapolis,34,2227.07,46.78
2025-07-03,Kansas City,24,1554.43,21.48
2025-07-03,Los Angeles,180,11907.95,197.47
2025-07-03,Miami,59,3929.48,35.8
2025-07-03,Milwaukee,22,1471.04,17.9
2025-07-03,Minneapolis,74,4588.1,85.29
2025-07-03,Nashville,25,1508.93,29.3
2025-07-03,New York,198,12693.38,278.11
