date,dma,orders,revenue,ad_spend
2025-07-01,Atlanta,107,6366.79,75.6
2025-07-01,Baltimore,30,2027.98,22.91
2025-07-01,Boston,104,6745.03,128.8
2025-07-01,Charlotte,40,2349.1,37.45
2025-07-01,Chicago,161,9444.38,207.56
2025-07-01,Columbus OH,20,1291.34,7.31
2025-07-01,Dallas-Ft. Worth,134,7903.32,180.96
2025-07-01,Denver,68,4456.13,41.02
2025-07-01,Hartford,27,1644.11,22.11
2025-07-01,Houston,131,7997.91,43.91
2025-07-01,Indianapolis,39,2515.82,38.67
2025-07-01,Kansas City,25,1597.61,36.84
2025-07-01,Los Angeles,172,10898.95,85.76
2025-07-01,Miami,57,3397.61,76.94
2025-07-01,Milwaukee,22,1411.64,32.25
2025-07-01,Minneapolis,76,4903.0,28.11
2025-07-01,Nashville,24,1575.72,16.98
2025-07-01,New York,196,12155.55,238.32
2025-07-01,Orlando,55,3286.83,79.04
2025-07-01,Philadelphia,162,9794.22,54.47
2025-07-01,Phoenix,79,4751.54,34.98
2025-07-01,Pittsburgh,30,2000.18,12.23
2025-07-01,Portland OR,48,2889.06,23.49
2025-07-01,Sacramento,49,2897.13,46.21
2025-07-01,San Antonio,31,2064.12,31.31
2025-07-01,San Francisco,93,6166.24,61.28
2025-07-01,Seattle,82,5137.49,51.63
2025-07-01,St. Louis,44,2806.41,47.97
2025-07-01,Tampa,71,4248.86,28.76
2025-07-01,Washington DC,124,7523.49,110.34
2025-07-02,Atlanta,114,7625.2,69.69
2025-07-02,Baltimore,29,1892.54,34.88
2025-07-02,Boston,99,6377.91,40.25
2025-07-02,Charlotte,39,2588.75,41.45
2025-07-02,Chicago,174,10102.54,201.75
2025-07-02,Columbus OH,21,1273.57,28.59
2025-07-02,Dallas-Ft. Worth,143,8706.22,126.27
2025-07-02,Denver,63,3796.6,74.99
2025-07-02,Hartford,26,1761.21,29.85
2025-07-02,Houston,133,8778.91,189.1
2025-07-02,Indianapolis,37,2395.81,16.38
2025-07-02,Kansas City,27,1812.64,23.47
2025-07-02,Los Angeles,182,12288.69,239.55
2025-07-02,Miami,62,3760.09,56.6
2025-07-02,Milwaukee,23,1439.06,12.82
2025-07-02,Minneapolis,75,4927.9,106.38
2025-07-02,Nashville,24,1536.78,7.65
2025-07-02,New York,187,12673.63,76.25
2025-07-02,Orlando,60,4077.53,58.69
2025-07-02,Philadelphia,159,9611.64,224.12
2025-07-02,Phoenix,85,5574.62,50.61
2025-07-02,Pittsburgh,33,2036.26,16.5
2025-07-02,Portland OR,46,2764.94,16.04
2025-07-02,Sacramento,54,3238.14,36.99
2025-07-02,San Antonio,34,1999.79,16.07
2025-07-02,San Francisco,102,6816.52,76.16
2025-07-02,Seattle,80,4691.06,41.43
2025-07-02,St. Louis,44,2807.28,20.87
2025-07-02,Tampa,71,4346.03,61.37
2025-07-02,Washington DC,127,8397.5,150.95
2025-07-03,Atlanta,103,6064.3,87.64
2025-07-03,Baltimore,29,1866.62,11.06
2025-07-03,Boston,97,6455.62,76.87
2025-07-03,Charlotte,40,2569.09,15.88
2025-07-03,Chicago,163,9764.3,190.98
2025-07-03,Columbus OH,21,1233.61,23.02
2025-07-03,Dallas-Ft. Worth,152,9128.25,195.03
2025-07-03,Denver,64,4245.62,20.75
2025-07-03,Hartford,28,1746.35,25.53
2025-07-03,Houston,134,7978.51,104.51
2025-07-03,Indianapolis,40,2414.27,44.84
2025-07-03,Kansas City,27,1637.95,31.08
2025-07-03,Los Angeles,182,11898.43,65.79
2025-07-03,Miami,63,4245.02,85.79
2025-07-03,Milwaukee,23,1339.78,27.42
2025-07-03,Minneapolis,77,4716.7,102.21
2025-07-03,Nashville,23,1561.64,22.18
2025-07-03,New York,207,12898.63,113.95
2025-07-03,Orlando,53,3538.29,30.78
2025-07-03,Philadelphia,148,9814.14,138.12
2025-07-03,Phoenix,87,5236.78,48.05
2025-07-03,Pittsburgh,30,1783.36,38.71
2025-07-03,Portland OR,46,2812.84,45.3
