date,dma,orders,revenue,ad_spend
2025-07-01,Atlanta,112,7420.3,164.06
2025-07-01,Baltimore,25,1484.53,16.06
2025-07-01,Boston,99,6146.39,116.44
2025-07-01,Charlotte,39,2575.49,37.55
2025-07-01,Chicago,176,10775.23,114.37
2025-07-01,Columbus OH,22,1422.5,12.39
2025-07-01,Dallas-Ft. Worth,147,9366.2,138.93
2025-07-01,Denver,62,4073.68,67.17
2025-07-01,Hartford,28,1679.2,29.05
2025-07-01,Houston,134,8901.8,84.89
2025-07-01,Indianapolis,37,2157.87,38.08
2025-07-01,Kansas City,20,1327.05,12.5
2025-07-01,Los Angeles,198,11777.43,224.42
2025-07-01,Miami,64,3819.18,41.5
2025-07-01,Milwaukee,15,881.88,16.01
2025-07-01,Minneapolis,71,4567.86,33.42
2025-07-01,Nashville,24,1581.53,25.86
2025-07-01,New York,181,11971.96,209.5
2025-07-01,Orlando,53,3118.77,79.23
2025-07-01,Philadelphia,151,8878.23,120.22
2025-07-01,Phoenix,85,5261.06,90.3
2025-07-01,Pittsburgh,29,1958.95,39.42
2025-07-01,Portland OR,44,2774.79,22.56
2025-07-01,Sacramento,46,2814.81,24.69
2025-07-01,San Antonio,30,1855.23,42.02
2025-07-01,San Francisco,100,6201.93,33.34
2025-07-01,Seattle,80,4659.21,113.87
2025-07-01,St. Louis,44,2819.84,14.86
2025-07-01,Tampa,73,4538.84,25.55
2025-07-01,Washington DC,109,7166.11,115.53
2025-07-02,Atlanta,118,7961.0,139.46
2025-07-02,Baltimore,24,1451.92,13.56
2025-07-02,Boston,103,6248.76,45.28
2025-07-02,Charlotte,43,2886.38,41.37
2025-07-02,Chicago,175,10783.87,258.26
2025-07-02,Columbus OH,26,1527.35,9.78
2025-07-02,Dallas-Ft. Worth,152,10185.95,192.92
2025-07-02,Denver,62,3620.37,56.75
2025-07-02,Hartford,28,1791.71,15.32
2025-07-02,Houston,132,8114.37,137.28
2025-07-02,Indianapolis,38,2355.6,41.03
2025-07-02,Kansas City,21,1411.44,6.36
2025-07-02,Los Angeles,182,11876.96,271.57
2025-07-02,Miami,59,3740.21,82.88
2025-07-02,Milwaukee,15,872.1,10.15
2025-07-02,Minneapolis,75,4796.79,93.39
2025-07-02,Nashville,22,1363.13,16.73
2025-07-02,New York,208,12781.69,191.0
2025-07-02,Orlando,53,3144.79,56.55
2025-07-02,Philadelphia,156,9394.65,165.35
2025-07-02,Phoenix,92,5643.01,80.53
2025-07-02,Pittsburgh,29,1708.06,32.68
2025-07-02,Portland OR,48,3066.95,58.09
2025-07-02,Sacramento,48,3143.28,42.95
2025-07-02,San Antonio,31,1965.94,46.28
2025-07-02,San Francisco,92,5365.27,124.77
2025-07-02,Seattle,81,5176.81,120.63
2025-07-02,St. Louis,45,2863.06,17.13
2025-07-02,Tampa,70,4665.29,42.75
2025-07-02,Washington DC,118,7052.2,78.91
2025-07-03,Atlanta,117,7035.35,94.1
2025-07-03,Baltimore,26,1688.89,13.37
2025-07-03,Boston,100,6623.13,66.15
2025-07-03,Charlotte,39,2460.06,26.96
2025-07-03,Chicago,169,10917.47,181.91
2025-07-03,Columbus OH,24,1562.02,35.49
2025-07-03,Dallas-Ft. Worth,146,9760.82,94.67
2025-07-03,Denver,68,4026.86,51.11
2025-07-03,Hartford,27,1681.84,24.77
2025-07-03,Houston,137,8965.61,48.26
2025-07-03,Indianapolis,41,2573.14,40.26
2025-07-03,Kansas City,22,1455.32,25.07
2025-07-03,Los Angeles,191,11248.31,125.43
2025-07-03,Miami,62,3932.27,62.1
2025-07-03,Milwaukee,15,924.61,14.11
2025-07-03,Minneapolis,69,4661.67,64.01
2025-07-03,Nashville,25,1482.14,29.72
2025-07-03,New York,206,12581.99,228.75
2025-07-03,Orlando,59,3565.73,79.24
2025-07-03,Philadelphia,160,9392.84,127.35
2025-07-03,Phoenix,86,5086.27,53.72
2025-07-03,Pittsburgh,27,1758.94,19.98
2025-07-03,Portland OR,43,2598.38,55.49
2025-07-03,Sacramento,44,2977.46,21.88
2025-07-03,San Antonio,29,1684.64,31.95
2025-07-03,San Francisco,93,5821.81,107.34
2025-07-03,Seattle,82,5346.07,62.26
2025-07-03,St. Louis,47,2965.23,28.94
2025-07-03,Tampa,72,4713.73,104.57
2025-07-03,Washington DC,117,7648.03,58.0
2025-07-04,Atlanta,116,7716.29,38.03
2025-07-04,Baltimore,26,1704.9,36.44
2025-07-04,Boston,100,6212.49,112.51
2025-07-04,Charlotte,43,2891.63,54.42
2025-07-04,Chicago,175,10235.31,254.82
2025-07-04,Columbus OH,25,1453.18,20.86
2025-07-04,Dallas-Ft. Worth,149,9691.2,66.31
2025-07-04,Denver,65,4254.69,63.21
2025-07-04,Hartford,29,1840.84,36.28
2025-07-04,Houston,133,8777.13,167.96
2025-07-04,Indianapolis,39,2521.95,42.77
2025-07-04,Kansas City,23,1526.79,24.34
2025-07-04,Los Angeles,192,12247.48,235.42
2025-07-04,Miami,65,3877.44,61.69
2025-07-04,Milwaukee,16,947.02,8.8
2025-07-04,Minneapolis,73,4830.22,84.6
2025-07-04,Nashville,25,1535.03,19.72
2025-07-04,New York,201,11697.48,168.34
2025-07-04,Orlando,56,3761.64,75.52
2025-07-04,Philadelphia,156,9538.33,159.31
2025-07-04,Phoenix,82,5335.99,35.86
2025-07-04,Pittsburgh,31,2064.39,27.68
2025-07-04,Portland OR,43,2777.23,32.41
2025-07-04,Sacramento,46,2815.21,62.66
2025-07-04,San Antonio,27,1703.43,38.18
2025-07-04,San Francisco,97,6315.64,145.45
2025-07-04,Seattle,80,5433.7,78.59
2025-07-04,St. Louis,50,2963.51,73.07
2025-07-04,Tampa,74,4764.2,34.12
2025-07-04,Washington DC,126,7819.73,58.92
2025-07-05,Atlanta,119,7339.46,87.2
2025-07-05,Baltimore,29,1714.51,13.98
2025-07-05,Boston,118,7493.8,86.38
2025-07-05,Charlotte,47,3185.24,55.36
2025-07-05,Chicago,204,13803.78,116.75
2025-07-05,Columbus OH,29,1907.76,27.95
2025-07-05,Dallas-Ft. Worth,159,10340.41,232.39
2025-07-05,Denver,75,5035.92,40.67
2025-07-05,Hartford,31,1856.11,20.15
2025-07-05,Houston,148,8721.65,152.26
2025-07-05,Indianapolis,43,2804.34,31.42
2025-07-05,Kansas City,24,1484.13,8.72
2025-07-05,Los Angeles,210,14029.16,271.4
2025-07-05,Miami,72,4752.42,37.68
2025-07-05,Milwaukee,17,1101.28,18.53
2025-07-05,Minneapolis,83,5215.66,121.02
2025-07-05,Nashville,30,1978.55,9.62
2025-07-05,New York,227,15387.83,274.92
2025-07-05,Orlando,62,4187.65,83.71
2025-07-05,Philadelphia,185,11010.78,142.61
2025-07-05,Phoenix,99,6653.39,71.72
2025-07-05,Pittsburgh,30,1803.3,25.55
2025-07-05,Portland OR,52,3307.8,52.92
2025-07-05,Sacramento,52,3148.06,48.66
2025-07-05,San Antonio,39,2587.17,35.69
2025-07-05,San Francisco,105,6930.95,155.94
2025-07-05,Seattle,96,5609.34,142.34
2025-07-05,St. Louis,54,3273.71,55.09
2025-07-05,Tampa,88,5281.09,97.44
2025-07-05,Washington DC,119,7108.13,97.89
2025-07-06,Atlanta,135,8774.89,108.09
2025-07-06,Baltimore,29,1697.76,27.47
2025-07-06,Boston,116,7065.92,127.19
2025-07-06,Charlotte,44,2619.94,64.02
2025-07-06,Chicago,212,14178.84,287.5
2025-07-06,Columbus OH,29,1738.32,42.33
2025-07-06,Dallas-Ft. Worth,189,12001.3,233.66
2025-07-06,Denver,77,4779.14,59.72
2025-07-06,Hartford,33,2078.48,37.36
2025-07-06,Houston,156,10017.7,114.14
2025-07-06,Indianapolis,46,2909.58,47.46
2025-07-06,Kansas City,26,1758.31,23.07
2025-07-06,Los Angeles,197,13331.8,288.59
2025-07-06,Miami,73,4871.41,96.77
2025-07-06,Milwaukee,18,1128.13,19.78
2025-07-06,Minneapolis,86,5427.03,89.36
2025-07-06,Nashville,29,1752.61,34.49
2025-07-06,New York,234,15081.07,172.21
2025-07-06,Orlando,62,3657.76,22.42
2025-07-06,Philadelphia,185,12161.05,94.69
2025-07-06,Phoenix,104,6542.0,106.96
2025-07-06,Pittsburgh,33,1942.71,12.06
2025-07-06,Portland OR,51,3307.13,45.19
