date,state,orders,revenue,ad_spend
2025-10-01,CA,145,8309,1190
2025-10-01,TX,105,6523,1026
2025-10-01,NY,127,7501,1085
2025-10-01,FL,97,5826,805
2025-10-01,IL,71,4388,603
2025-10-01,PA,52,3176,495
2025-10-01,OH,49,3120,448
2025-10-01,GA,59,3296,526
2025-10-01,NC,51,2811,395
2025-10-01,MI,49,3001,369
2025-10-02,CA,156,9428,1109
2025-10-02,TX,113,6851,942
2025-10-02,NY,131,8429,1033
2025-10-02,FL,74,4037,771
2025-10-02,IL,66,3627,625
2025-10-02,PA,56,3211,511
2025-10-02,OH,45,2630,434
2025-10-02,GA,62,4045,571
2025-10-02,NC,41,2298,378
2025-10-02,MI,40,2342,340
2025-10-03,CA,168,10195,1194
2025-10-03,TX,90,5698,866
2025-10-03,NY,120,6934,1114
2025-10-03,FL,86,5617,827
2025-10-03,IL,69,4269,582
2025-10-03,PA,43,2559,534
2025-10-03,OH,47,2855,467
2025-10-03,GA,59,3822,586
2025-10-03,NC,42,2771,408
2025-10-03,MI,38,2073,350
2025-10-04,CA,201,12764,1254
2025-10-04,TX,118,6912,958
2025-10-04,NY,169,11095,1098
2025-10-04,FL,109,6829,795
2025-10-04,IL,75,4290,566
2025-10-04,PA,65,3849,491
2025-10-04,OH,42,2709,466
2025-10-04,GA,73,4098,582
2025-10-04,NC,67,3858,379
2025-10-04,MI,44,2457,332
2025-10-05,CA,181,11465,1126
2025-10-05,TX,123,7120,950
2025-10-05,NY,188,12134,1115
2025-10-05,FL,114,6235,770
2025-10-05,IL,97,5338,550
2025-10-05,PA,65,4103,501
2025-10-05,OH,60,3582,438
2025-10-05,GA,67,4319,543
2025-10-05,NC,51,3084,406
2025-10-05,MI,49,2829,338
2025-10-06,CA,170,10074,1197
2025-10-06,TX,94,5329,947
2025-10-06,NY,110,6244,1162
2025-10-06,FL,89,5480,815
2025-10-06,IL,67,4309,665
2025-10-06,PA,59,3660,508
2025-10-06,OH,49,3196,462
2025-10-06,GA,53,3361,537
2025-10-06,NC,46,2538,388
2025-10-06,MI,35,2086,358
2025-10-07,CA,144,9477,1111
2025-10-07,TX,112,6504,978
2025-10-07,NY,129,7260,1068
2025-10-07,FL,79,4530,813
2025-10-07,IL,66,3915,668
2025-10-07,PA,61,3331,476
2025-10-07,OH,60,3938,450
2025-10-07,GA,74,4144,526
2025-10-07,NC,42,2470,401
2025-10-07,MI,45,2962,356
2025-10-08,CA,145,8622,1305
2025-10-08,TX,75,4946,1005
2025-10-08,NY,101,5642,1070
2025-10-08,FL,82,4998,901
2025-10-08,IL,54,2953,587
2025-10-08,PA,49,3147,485
2025-10-08,OH,57,3133,498
2025-10-08,GA,65,4037,584
2025-10-08,NC,46,2975,410
2025-10-08,MI,41,2519,374
2025-10-09,CA,126,7594,1239
2025-10-09,TX,109,6823,937
2025-10-09,NY,122,7571,1155
2025-10-09,FL,86,5420,833
2025-10-09,IL,74,4883,615
2025-10-09,PA,58,3280,500
2025-10-09,OH,47,3035,502
2025-10-09,GA,66,3689,532
2025-10-09,NC,50,3067,373
2025-10-09,MI,47,2542,348
2025-10-10,CA,150,9294,1154
2025-10-10,TX,105,5815,940
2025-10-10,NY,133,7617,1143
2025-10-10,FL,74,4177,761
2025-10-10,IL,61,3652,582
2025-10-10,PA,65,3582,473
2025-10-10,OH,44,2378,458
2025-10-10,GA,61,3486,511
2025-10-10,NC,44,2602,375
2025-10-10,MI,42,2713,350
2025-10-11,CA,200,12803,1157
2025-10-11,TX,116,6441,937
2025-10-11,NY,134,8516,1210
2025-10-11,FL,126,7122,734
2025-10-11,IL,80,5069,614
2025-10-11,PA,74,4547,483
2025-10-11,OH,68,4378,493
2025-10-11,GA,90,5812,543
2025-10-11,NC,66,3827,405
2025-10-11,MI,59,3798,337
2025-10-12,CA,185,11738,1156
2025-10-12,TX,147,9453,1011
2025-10-12,NY,154,9167,1200
2025-10-12,FL,101,5730,867
2025-10-12,IL,86,4983,603
2025-10-12,PA,82,4703,451
2025-10-12,OH,55,3618,432
2025-10-12,GA,54,2991,535
2025-10-12,NC,60,3933,398
2025-10-12,MI,49,2902,358
2025-10-13,CA,143,8762,1148
2025-10-13,TX,89,5422,947
2025-10-13,NY,120,6482,1186
2025-10-13,FL,100,6263,778
2025-10-13,IL,65,3794,555
2025-10-13,PA,64,3710,516
2025-10-13,OH,44,2756,490
2025-10-13,GA,58,3416,572
2025-10-13,NC,41,2277,410
2025-10-13,MI,30,1864,370
2025-10-14,CA,168,9679,1152
2025-10-14,TX,102,5859,950
2025-10-14,NY,105,6495,1131
2025-10-14,FL,78,4412,809
2025-10-14,IL,49,3114,611
2025-10-14,PA,57,3431,509
2025-10-14,OH,45,2872,435
2025-10-14,GA,61,3458,509
2025-10-14,NC,46,2619,404
2025-10-14,MI,31,1701,355
2025-10-15,CA,127,7154,1243
2025-10-15,TX,98,5579,898
2025-10-15,NY,122,7687,1095
2025-10-15,FL,91,5378,781
2025-10-15,IL,76,4576,667
2025-10-15,PA,61,3915,506
2025-10-15,OH,39,2418,461
2025-10-15,GA,71,4643,547
2025-10-15,NC,52,3257,383
2025-10-15,MI,32,1938,349
2025-10-16,CA,170,10148,1140
2025-10-16,TX,101,6227,986
2025-10-16,NY,123,7567,1034
2025-10-16,FL,89,5111,816
2025-10-16,IL,65,3931,626
2025-10-16,PA,59,3677,514
2025-10-16,OH,48,2827,442
2025-10-16,GA,53,2994,542
2025-10-16,NC,35,2135,421
2025-10-16,MI,37,2338,318
2025-10-17,CA,143,8326,1204
2025-10-17,TX,100,6544,857
2025-10-17,NY,99,5995,1144
2025-10-17,FL,82,4644,783
2025-10-17,IL,63,3656,603
2025-10-17,PA,52,2911,477
2025-10-17,OH,45,2766,452
2025-10-17,GA,67,4072,555
2025-10-17,NC,52,2893,405
2025-10-17,MI,38,2225,351
2025-10-18,CA,183,11554,1252
2025-10-18,TX,105,6718,1005
2025-10-18,NY,148,8026,1123
2025-10-18,FL,54,3143,758
2025-10-18,IL,70,4327,558
2025-10-18,PA,68,3835,439
2025-10-18,OH,63,3497,452
2025-10-18,GA,68,3850,519
2025-10-18,NC,52,2913,368
2025-10-18,MI,42,2326,332
2025-10-19,CA,203,11225,1059
2025-10-19,TX,136,8449,957
2025-10-19,NY,166,10388,1086
2025-10-19,FL,127,7814,828
2025-10-19,IL,94,6035,631
2025-10-19,PA,65,4277,493
2025-10-19,OH,61,3608,430
2025-10-19,GA,67,3892,574
2025-10-19,NC,63,3482,370
2025-10-19,MI,58,3709,344
2025-10-20,CA,141,8856,1138
2025-10-20,TX,110,7007,942
2025-10-20,NY,105,6219,1085
2025-10-20,FL,88,5651,769
2025-10-20,IL,67,4327,589
2025-10-20,PA,56,3434,528
2025-10-20,OH,47,3018,454
2025-10-20,GA,62,3942,567
2025-10-20,NC,39,2434,435
2025-10-20,MI,40,2615,352
2025-10-21,CA,173,10356,1249
2025-10-21,TX,103,6360,877
2025-10-21,NY,97,5346,1106
2025-10-21,FL,93,5364,860
2025-10-21,IL,59,3562,583
2025-10-21,PA,46,2667,519
2025-10-21,OH,48,2737,433
2025-10-21,GA,65,3603,562
2025-10-21,NC,37,2080,392
2025-10-21,MI,42,2633,370
2025-10-22,CA,170,9757,1189
2025-10-22,TX,109,6184,968
2025-10-22,NY,124,7491,1108
2025-10-22,FL,86,5215,907
2025-10-22,IL,65,4187,585
2025-10-22,PA,43,2618,503
2025-10-22,OH,43,2417,455
2025-10-22,GA,78,4659,571
2025-10-22,NC,49,2690,382
2025-10-22,MI,40,2232,346
2025-10-23,CA,133,8768,1180
2025-10-23,TX,117,7169,1005
2025-10-23,NY,124,7474,1062
2025-10-23,FL,78,5017,813
2025-10-23,IL,73,4486,598
2025-10-23,PA,47,3072,474
2025-10-23,OH,50,3096,465
2025-10-23,GA,63,3459,564
2025-10-23,NC,52,3179,400
2025-10-23,MI,40,2499,362
2025-10-24,CA,139,8653,1137
2025-10-24,TX,119,7319,912
2025-10-24,NY,102,6028,991
2025-10-24,FL,73,4738,784
2025-10-24,IL,66,3695,590
2025-10-24,PA,51,3102,539
2025-10-24,OH,47,2926,461
2025-10-24,GA,55,3300,487
2025-10-24,NC,43,2343,400
2025-10-24,MI,36,2052,356
2025-10-25,CA,225,14407,1283
2025-10-25,TX,91,6006,897
2025-10-25,NY,142,7737,1062
2025-10-25,FL,109,6738,755
2025-10-25,IL,86,5248,590
2025-10-25,PA,62,3416,478
2025-10-25,OH,56,3474,467
2025-10-25,GA,79,4924,531
2025-10-25,NC,52,3316,447
2025-10-25,MI,43,2484,344
2025-10-26,CA,154,9063,1342
2025-10-26,TX,80,4951,937
2025-10-26,NY,131,7369,1085
2025-10-26,FL,95,5843,851
2025-10-26,IL,81,4908,580
2025-10-26,PA,76,4741,488
2025-10-26,OH,73,4475,492
2025-10-26,GA,75,4546,566
2025-10-26,NC,53,3493,397
2025-10-26,MI,55,3048,340
2025-10-27,CA,156,9765,1139
2025-10-27,TX,91,5826,948
2025-10-27,NY,132,8001,1095
2025-10-27,FL,71,4267,860
2025-10-27,IL,77,4413,559
2025-10-27,PA,57,3717,475
2025-10-27,OH,38,2181,448
2025-10-27,GA,58,3827,585
2025-10-27,NC,42,2539,401
2025-10-27,MI,37,2239,368
2025-10-28,CA,133,7483,1215
2025-10-28,TX,97,5510,891
2025-10-28,NY,124,7804,1084
2025-10-28,FL,85,4984,730
2025-10-28,IL,59,3880,552
2025-10-28,PA,54,3241,500
2025-10-28,OH,39,2515,426
2025-10-28,GA,53,3153,562
2025-10-28,NC,45,2784,380
2025-10-28,MI,44,2888,366
2025-10-29,CA,135,8343,1278
2025-10-29,TX,117,7525,875
2025-10-29,NY,114,7139,1133
